,JNJ,ABBV,BRK-B,MSFT,MRK,C,AMZN
0,0.14075854905772056,0.0,0.03942902248440239,0.3842847999415944,0.20287222884962697,0.0,0.2326553996666557
1,0.0,0.0,0.099440623086437,0.5373039665080386,0.15677488269589593,0.0,0.2064805277096286
2,0.04098350627796966,0.0,0.0,0.4957007031784078,0.22017272413232733,0.0,0.2431430664112952
3,0.05607881825124954,0.0,0.0,0.520065320180235,0.22850555506648312,0.0,0.19535030650203247
4,0.0,0.0,0.0,0.5634365152275417,0.2801058788192541,0.0,0.15645760595320443
5,0.0,0.0,0.0,0.5767089085764611,0.29583367253256526,0.0,0.12745741889097376
6,0.0,0.0,0.0,0.6192825190732,0.27238087152651946,0.0,0.10833660940028056
7,0.0,0.0,0.07842234710506923,0.563949995184196,0.19985694941788718,0.0,0.1577707082928476
8,0.0,0.0,0.08052562488558382,0.6095898751055551,0.14869148629730827,0.0,0.161193013711553
9,0.005826468959280267,0.0,0.0050738963303919565,0.5864745782825417,0.19048598670704894,0.0,0.21213906972073723
10,0.0,0.0,0.0,0.6120267941727586,0.08379956597140739,0.0,0.304173639855834
11,0.0,0.0,0.0,0.6694816285078453,0.0,0.0,0.33051837149215474
12,0.0,0.0,0.0,0.6359356716909143,0.0,0.0,0.36406432830908575
13,0.0,0.0,0.0,0.5870586531098758,0.0,0.0,0.4129413468901243
14,0.0,0.0,0.0,0.6175785780481665,0.0,0.0,0.38242142195183354
15,0.0,0.0,0.0,0.5667850500380139,0.0,0.0,0.4332149499619861
16,0.0,0.0,0.0,0.47050540048182954,0.0,0.0,0.5294945995181705
17,0.0,0.0,0.0,0.5151155829645854,0.0,0.0,0.4848844170354145
18,0.0,0.0,0.0,0.45772283472445274,0.03115975677343951,0.0,0.5111174085021077
19,0.0,0.0,0.0,0.6917069394229852,0.0,0.0,0.30829306057701483
20,0.0,0.0,0.0,0.6933524365630638,0.0,0.0,0.30664756343693617
21,0.0,0.0,0.0,0.7625243704407806,0.0,0.0,0.2374756295592195
22,0.0,0.0,0.0,0.8129544894882211,0.0,0.0,0.18704551051177884
23,0.0,0.0,0.0,0.8860385212856573,0.0,0.0,0.11396147871434259
24,0.0,0.0,0.0,0.953466282962561,0.0,0.0,0.04653371703743901
25,0.0,0.0,0.0,0.9965522345520957,0.0,0.0,0.003447765447904127
26,0.0,0.0,0.0,0.9755520094029612,0.024447990597038848,0.0,0.0
27,0.0,0.02241629067167869,0.0,0.8921625457272665,0.08542116360105483,0.0,0.0
28,0.0,0.02311021727075066,0.0,0.870724470650567,0.10616531207868221,0.0,0.0
29,0.0,0.03130760813624511,0.0,0.8532602531349841,0.11543213872877064,0.0,0.0
30,0.0,0.0,0.0,0.8667530095432486,0.1332469904567514,0.0,0.0
31,0.0,0.022207766429427414,0.0,0.8602672417472932,0.10188608603943188,0.0,0.015638905783847367
32,0.0,0.01428559618098432,0.0,0.9555470807949045,0.0,0.0,0.03016732302411116
33,0.0,0.05381269704279531,0.0,0.9461873029572048,0.0,0.0,0.0
34,0.0,0.01815589590734253,0.0,0.9818441040926575,0.0,0.0,0.0
35,0.0,0.0578684614891467,0.0,0.9421315385108532,0.0,0.0,0.0
36,0.0,0.0719540816173071,0.0,0.9280459183826928,0.0,0.0,0.0
37,0.0,0.049301068568022625,0.0,0.872167126516351,0.07853180491562632,0.0,0.0
38,0.0,0.06636365109664495,0.0,0.8606271520597749,0.07300919684358005,0.0,0.0
39,0.0,0.10113414461186286,0.0,0.8176813614163877,0.08118449397174947,0.0,0.0
40,0.0,0.11816832535041692,0.0,0.7813125765506836,0.10051909809889942,0.0,0.0
41,0.0,0.09392752557409785,0.0,0.842403736903038,0.06366873752286421,0.0,0.0
42,0.0,0.12287583243739213,0.0,0.7372641319268304,0.1398600356357774,0.0,0.0
43,0.0,0.15192375567211353,0.0,0.6583489121864213,0.1897273321414651,0.0,0.0
44,0.0,0.15130195442397726,0.0,0.6874616565972025,0.1612363889788202,0.0,0.0
45,0.0,0.15507123062242062,0.0,0.6339062107750376,0.21102255860254168,0.0,0.0
46,0.0,0.12282534790431907,0.0,0.6655959862974817,0.21157866579819906,0.0,0.0
47,0.0,0.14457920947049585,0.0,0.6731723685678906,0.18224842196161348,0.0,0.0
48,0.0,0.10248264252129625,0.0,0.710667343457334,0.1868500140213698,0.0,0.0
49,0.0,0.09538784322584784,0.0,0.68719866158797,0.217413495186182,0.0,0.0
50,0.0,0.04630363383585702,0.0,0.7506347810821664,0.20306158508197655,0.0,0.0
